Experiment,Reporting Label,Round,Training Loss,Test Loss,Test Accuracy (%),Cumulative Peak Accuracy (%),Source File
SA-1,DP 0.001 + mask recovery,12,0.517898510503769,0.713299853406894,77.24,77.24,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,13,0.4929820218086242,0.7993493592663176,76.1,77.24,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,14,0.4684484197521209,0.6478888937242472,79.32,79.32,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,15,0.4485649668693542,0.89113124540657,74.05,79.32,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,16,0.4262364946079254,0.8207840630962591,75.27,79.32,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,17,0.4071034730148315,0.7006419297236546,77.92,79.32,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,18,0.3954137166881561,0.4972672625711769,83.7,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,19,0.3770658143520355,0.8185548364736472,76.79,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,20,0.3685254148101807,0.5768832287211327,82.77,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,21,0.3533124408531188,0.5423798096028103,82.03,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,22,0.3410774172019958,0.5490740033661484,82.64,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,23,0.3338681918573379,0.5032074234098386,83.62,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,24,0.3227893577289581,0.582384149549873,81.57,83.7,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,25,0.3151875098967552,0.4518942944942766,85.19,85.19,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,26,0.3037578684687614,0.5915622711181641,81.13,85.19,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,27,0.2998263731527328,0.5092526488243394,83.35,85.19,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,28,0.2927586532974243,0.4201493985523843,86.42,86.42,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,29,0.2804733668708801,0.4831096140822027,84.49,86.42,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
SA-1,DP 0.001 + mask recovery,30,0.2742092301177978,0.7248908617314259,79.36,86.42,G:\My Drive\COM748_Project\06_Results\Tables\Round_History\SA-1_history.csv
